id;spkid;full_name;pdes;name;prefix;neo;pha;H;diameter;albedo;diameter_sigma;orbit_id;epoch;epoch_mjd;epoch_cal;equinox;e;a;q;i;om;w;ma;ad;n;tp;tp_cal;per;per_y;moid;moid_ld;sigma_e;sigma_a;sigma_q;sigma_i;sigma_om;sigma_w;sigma_ma;sigma_ad;sigma_n;sigma_tp;sigma_per;class;rms
a0000290;2000290;   290 Bruna;290;Bruna;;N;N;12;9.822;0.314;0.13;JPL 26;2459000.5;59000;20200531;J2000;0.257171174;2.338337805;1.736984727;22.32254119;10.37002497;105.3483511;197.5084859;2.939690883;0.275640607;2459590.005;20220110.5;1306.048497;3.575765904;0.873866;340.0824312;3.6484E-08;7.6222E-09;8.5293E-08;7.9232E-06;0.000011428;0.000019283;0.000014784;9.5824E-09;1.3477E-09;0.000054621;6.3859E-06;MBA;0.30651
a0000291;2000291;   291 Alice;291;Alice;;N;N;11.5;10.456;0.425;0.419;JPL 33;2459000.5;59000;20200531;J2000;0.092282416;2.222745546;2.017625216;1.856198299;161.5949821;332.1204949;171.2932379;2.427865875;0.297419508;2458424.569;20181102.07;1210.411524;3.313926143;1.03192;401.5923064;3.0222E-08;5.3316E-09;6.6872E-08;3.8429E-06;0.00011238;0.00011481;0.000023311;5.8236E-09;1.0701E-09;0.000078096;4.3551E-06;MBA;0.4041
a0000292;2000292;   292 Ludovica;292;Ludovica;;N;N;9.9;30.864;0.187;0.089;JPL 35;2459000.5;59000;20200531;J2000;0.033263659;2.529295837;2.445162203;14.88704029;43.49066007;285.3849189;11.35602236;2.613429471;0.245021746;2458954.153;20200414.65;1469.257346;4.02260738;1.48036;576.1117012;4.4047E-08;8.7384E-09;1.122E-07;4.8106E-06;0.000017809;0.000074554;0.000073428;9.0291E-09;1.2698E-09;0.00029963;7.6142E-06;MBA;0.35186
a0000293;2000293;   293 Brasilia;293;Brasilia;;N;N;10.2;57.486;0.056;1.442;JPL 36;2459000.5;59000;20200531;J2000;0.105869591;2.860253787;2.557439888;15.58215433;61.30044185;86.83279306;33.15019995;3.163067686;0.203749814;2458837.799;20191220.3;1766.872782;4.837434038;1.62706;633.2029402;3.7246E-08;1.135E-08;1.0822E-07;4.4603E-06;0.000015645;0.000027393;0.000021103;1.2551E-08;1.2128E-09;0.00010362;0.000010517;MBA;0.39156
a0000294;2000294;   294 Felicia;294;Felicia;;N;N;10.1;51.865;0.095;0.514;JPL 42;2459000.5;59000;20200531;J2000;0.233233794;3.1557236;2.419702214;6.264629651;135.7114346;186.0591235;100.2315786;3.891744987;0.175814884;2458430.403;20181107.9;2047.608216;5.606045766;1.40721;547.6439157;3.0475E-08;1.1712E-08;9.3931E-08;3.5696E-06;0.000033081;0.000033935;8.6519E-06;1.4443E-08;9.7874E-10;0.000047975;0.000011399;MBA;0.42291
a0000295;2000295;   295 Theresia;295;Theresia;;N;N;10;28.34;0.171;0.338;JPL 37;2459000.5;59000;20200531;J2000;0.170221705;2.797378849;2.321204251;2.708384093;276.0345793;147.9495539;202.0912256;3.273553447;0.210657606;2459750.099;20220619.6;1708.934263;4.678807018;1.33517;519.6081089;3.5983E-08;9.5016E-09;1.0026E-07;4.0374E-06;0.000088371;0.00008919;0.000013054;1.1119E-08;1.0733E-09;0.000063957;8.7069E-06;MBA;0.45569
a0000296;2000296;   296 Phaetusa;296;Phaetusa;;N;N;12.6;8.196;0.379;0.1;JPL 29;2459000.5;59000;20200531;J2000;0.159785005;2.228938018;1.872787146;1.747950183;121.5641971;252.4641262;327.3525408;2.58508889;0.296180926;2459110.728;20200918.23;1215.473276;3.327784465;0.874284;340.2451043;3.293E-08;5.8186E-09;7.358E-08;3.4658E-06;0.00011846;0.00011909;0.000015363;6.7483E-09;1.1598E-09;0.000052127;4.7595E-06;MBA;0.44698
a0000297;2000297;   297 Caecilia;297;Caecilia;;N;N;9.1;39.48;0.1796;1.8;JPL 38;2459000.5;59000;20200531;J2000;0.140291621;3.16601104;2.721846218;7.552816758;331.8874149;353.3685582;2.634286792;3.610175862;0.174958657;2458985.443;20200515.94;2057.628963;5.633481075;1.71021;665.5624257;4.1087E-08;1.6345E-08;1.3274E-07;4.5792E-06;0.000031259;0.000034632;0.000016977;1.8638E-08;1.3548E-09;0.000096987;0.000015934;MBA;0.38929
a0000298;2000298;   298 Baptistina;298;Baptistina;;N;N;11.2;21.135;0.131;0.368;JPL 40;2459000.5;59000;20200531;J2000;0.0964791;2.263320536;2.044957409;6.285742974;8.158753186;135.1516248;254.6813132;2.481683664;0.289457614;2459364.348;20210529.85;1243.705408;3.405079831;1.06187;413.2479479;3.5989E-08;5.4184E-09;8.132E-08;4.2005E-06;0.000030824;0.0000364;0.000020048;5.9412E-09;1.0395E-09;0.000069605;4.4662E-06;MBA;0.44926
a0000299;2000299;   299 Thora;299;Thora;;N;N;11.3;15.757;0.251;0.081;JPL 43;2459000.5;59000;20200531;J2000;0.061983753;2.434183017;2.283303217;1.60624926;241.4824936;152.0781263;42.83536173;2.585062816;0.259522031;2458835.445;20191217.95;1387.165468;3.797852068;1.28927;501.7452059;3.3398E-08;6.4235E-09;8.2574E-08;0.000003309;0.00012423;0.00012696;0.000025934;6.8217E-09;1.0273E-09;0.000099931;5.4909E-06;MBA;0.41502
a0000300;2000300;   300 Geraldina;300;Geraldina;;N;N;9.8;67.373;0.052;0.086;JPL 38;2459000.5;59000;20200531;J2000;0.057443906;3.203507246;3.019485276;0.731905265;42.64753099;324.7204226;194.1080259;3.387529215;0.171895896;2459965.572;20230121.07;2094.290838;5.733855819;2.01791;785.3100347;3.6946E-08;1.313E-08;1.2005E-07;3.8299E-06;0.00029763;0.00029926;0.000032001;1.3885E-08;1.0568E-09;0.00018846;0.000012876;OMB;0.44815
a0000301;2000301;   301 Bavaria;301;Bavaria;;N;N;10.3;53.042;0.057;0.426;JPL 82;2459000.5;59000;20200531;J2000;0.067115429;2.724428339;2.541577161;4.898073471;142.2981153;124.143718;64.07818697;2.907279517;0.219174987;2458708.139;20190812.64;1642.523193;4.496983416;1.5296;595.274432;3.2728E-08;7.8762E-09;9.0403E-08;3.4234E-06;0.000040567;0.000047894;0.000024658;8.4048E-09;9.5043E-10;0.00011269;7.1227E-06;MBA;0.45738
a0000302;2000302;   302 Clarissa;302;Clarissa;;N;N;11.1;38.53;0.0524;3.1;JPL 46;2459000.5;59000;20200531;J2000;0.11047799;2.407255001;2.141306306;3.411650272;7.793015781;54.4863062;223.7459577;2.673203696;0.263888781;2459516.831;20211029.33;1364.211082;3.735006385;1.15622;449.9661374;3.1954E-08;5.9323E-09;7.6119E-08;3.9061E-06;0.000052289;0.000055295;0.000017759;6.5877E-09;9.7547E-10;0.000067939;5.0428E-06;MBA;0.46606
a0000303;2000303;   303 Josephina;303;Josephina;;N;N;8.9;124.923;0.034;0.952;JPL 34;2459000.5;59000;20200531;J2000;0.058153297;3.129756239;2.947750594;6.873222605;343.7214317;64.60698021;246.746761;3.311761885;0.178007501;2459636.727;20220226.23;2022.386687;5.536992983;1.96514;764.7735338;3.8868E-08;1.3329E-08;1.1933E-07;4.6032E-06;0.000034389;0.000052735;0.000040632;1.4104E-08;1.1371E-09;0.00022942;0.000012919;MBA;0.40839
